# free energy profile (in units of kT), from histogramming
#      bin        f       df 
   0.260    1.869    0.856 
   0.280    1.113    0.855 
   0.300    2.430    0.856 
   0.320    4.240    0.868 
   0.340    5.261    0.906 
   0.360    7.316    1.307 
   0.380    6.560    1.092 
   0.400    5.393    0.909 
   0.420    4.681    0.861 
   0.440    3.590    0.834 
   0.460    3.227    0.830 
   0.480    2.691    0.826 
   0.500    2.601    0.826 
   0.520    2.346    0.826 
   0.540    2.431    0.829 
